channel,campaign,impressions,clicks,conversions,cost,revenue,ctr,cvr,roas,cpa
Social,Campaign_0,5765,184,51,4466.392087533537,9759.299748940404,0.03191673894189072,0.27717391304347827,2.1850521758222428,87.57631544183405
Social,Campaign_1,6641,377,13,3047.011789693334,6818.451739434384,0.056768558951965066,0.034482758620689655,2.2377503633225606,234.3855222841026
Social,Campaign_2,9819,731,177,3540.6014568483665,3602.320297549644,0.07444749974539158,0.2421340629274966,1.0174317390571872,20.003398061290206
Social,Campaign_3,5485,383,110,4651.878432025295,7908.471973580978,0.0698268003646308,0.28720626631853785,1.700059898198555,42.28980392750268
Email,Campaign_4,7772,548,165,3390.5345257672584,5367.152389671806,0.07050952135872363,0.3010948905109489,1.582981193343622,20.548694095559142
Social,Campaign_0,9373,466,151,822.8053162195661,2052.3904543922545,0.04971727301824389,0.3240343347639485,2.494381616081553,5.4490418292686496
Email,Campaign_1,3283,487,54,876.1034151084943,8885.612484855465,0.14833993298812062,0.11088295687885011,10.142195923017939,16.22413731682397
Display,Campaign_2,5289,921,10,3057.0406983398284,8240.721281320271,0.17413499716392514,0.010857763300760043,2.6956531150519254,305.7040698339828
Email,Campaign_3,7732,905,84,1024.9934744333555,1240.4992886601658,0.11704604242110708,0.09281767955801105,1.2102509133982027,12.202303267063755
Display,Campaign_4,1120,107,88,692.980168927173,1366.3906788877653,0.09553571428571428,0.822429906542056,1.9717601457529768,7.874774646899694
Social,Campaign_0,9717,476,138,2226.478942983126,2698.3148380001135,0.048986312647936604,0.28991596638655465,1.2119202144282588,16.133905383935698
Search,Campaign_1,1222,436,10,4901.505897477953,8767.330281329692,0.3567921440261866,0.022935779816513763,1.7887013633587345,490.1505897477953
Display,Campaign_2,4676,559,106,2973.696119925151,2751.0834932330945,0.11954662104362704,0.18962432915921287,0.9251394164990673,28.053736980425953
Display,Campaign_3,5332,751,126,4481.653521280738,9295.51432013356,0.14084771192798198,0.1677762982689747,2.0741260510199253,35.568678740323314
Email,Campaign_4,4632,486,21,2537.850108359008,5597.779885542833,0.10492227979274611,0.043209876543209874,2.2057172987109146,120.85000515995277
Search,Campaign_0,8326,410,39,4687.949556758318,3585.2705933987613,0.049243334134037954,0.0951219512195122,0.7647843796079472,120.20383478867483
Display,Campaign_1,8557,617,143,634.615451039933,2125.3318526373987,0.07210470959448405,0.23176661264181522,3.3490074172550566,4.437870286992538
Email,Campaign_2,3544,885,79,3737.5254996607623,6219.570220143044,0.2497178329571106,0.08926553672316384,1.6640877020658629,47.31044936279446
Social,Campaign_3,7432,862,195,4799.110497816377,9068.789696747717,0.1159849300322928,0.22621809744779584,1.889681369260839,24.610823065725008
Display,Campaign_4,1062,993,40,2613.0502944920804,6583.2679186835385,0.9350282485875706,0.04028197381671702,2.519380485159464,65.32625736230202
Social,Campaign_0,7490,690,28,1642.3477115784426,4908.758481151466,0.09212283044058744,0.04057971014492753,2.9888667585707,58.65527541351581
Display,Campaign_1,3023,946,116,3431.769000513393,6625.08144097872,0.31293417135296064,0.1226215644820296,1.9305149734692535,29.584215521667183
Display,Campaign_2,9342,181,26,2218.883372913514,7612.668545093944,0.019374866195675446,0.143646408839779,3.430855644791325,85.3416681889813
Search,Campaign_3,9595,333,129,2023.440215218274,3152.4321187579135,0.03470557582073997,0.38738738738738737,1.5579566399088554,15.68558306370755
Display,Campaign_4,3437,210,91,2108.245404539909,3429.992875306138,0.06109979633401222,0.43333333333333335,1.6269419432481482,23.167531918020977
Email,Campaign_0,3852,720,19,2352.5123960390806,9031.172801886863,0.18691588785046728,0.02638888888888889,3.8389480187618257,123.81644189679372
Social,Campaign_1,1127,130,147,2529.0283962825433,8026.3209383690655,0.11535048802129548,1.1307692307692307,3.173677666161074,17.204274804643152
Social,Campaign_2,2508,966,86,1250.1710016632298,7538.206352016483,0.38516746411483255,0.08902691511387163,6.029740205130049,14.536872112363138
Social,Campaign_3,3508,871,166,3543.231913315374,7035.382280517706,0.2482896237172178,0.19058553386911595,1.9855833466838342,21.34477056214081
Display,Campaign_4,8322,228,87,4280.891407525529,5674.07472733762,0.0273972602739726,0.3815789473684211,1.3254423406683395,49.2056483623624
Email,Campaign_0,3022,961,97,3804.314351598004,4261.716619242121,0.3180013236267373,0.10093652445369407,1.120232511136201,39.21973558348458
Display,Campaign_1,4252,400,196,2388.133710527578,4526.134416531631,0.09407337723424271,0.49,1.8952600503812385,12.18435566595703
Search,Campaign_2,1592,784,131,1247.6136873930627,1714.1363381015738,0.49246231155778897,0.16709183673469388,1.3739319754365058,9.523768606053913
Email,Campaign_3,7557,336,186,3703.1864562291757,8975.728910002588,0.0444620881302104,0.5535714285714286,2.423785303844046,19.909604603382665
Display,Campaign_4,2024,995,165,736.966459810697,1189.1785750381937,0.491600790513834,0.1658291457286432,1.6136128845587565,4.466463392792103
Display,Campaign_0,4799,727,117,2758.7586795436514,8602.50452918094,0.15148989372785998,0.1609353507565337,3.1182519127058805,23.579134013193602
Search,Campaign_1,5669,354,163,4774.082155666774,5099.9544819389,0.06244487563944258,0.4604519774011299,1.0682586339418814,29.288847580777755
Display,Campaign_2,3371,100,121,2081.7300028550776,2658.56356784445,0.029664787896766538,1.21,1.2770933618664522,17.20438018888494
Search,Campaign_3,8764,885,86,3801.532933487205,6606.899633476875,0.10098128708352351,0.09717514124293786,1.7379567003819862,44.20387131961866
Display,Campaign_4,1116,513,34,4706.179612207124,5618.265801933473,0.4596774193548387,0.06627680311890838,1.1938060730535092,138.41704741785657
Email,Campaign_0,9933,703,15,1022.7683940616457,6766.130859268765,0.07077418705325682,0.021337126600284494,6.615506402577539,68.18455960410971
Search,Campaign_1,8935,328,44,3241.1786767137282,4291.936213240207,0.03670956911024063,0.13414634146341464,1.324189944872726,73.66315174349383
Email,Campaign_2,1824,287,86,3034.16991821092,8187.02425835677,0.15734649122807018,0.29965156794425085,2.698274809600709,35.28104556059209
Email,Campaign_3,8096,121,197,2721.1226433334414,4854.089829207629,0.014945652173913044,1.628099173553719,1.7838555866270147,13.81280529610884
Email,Campaign_4,7704,163,53,2799.7425482506073,4496.410867318162,0.02115784008307373,0.32515337423312884,1.6060086918090741,52.825331099068066
Social,Campaign_0,6265,834,69,2294.5442432986183,6637.423729829422,0.13312051077414205,0.08273381294964029,2.892698081204795,33.25426439563215
Social,Campaign_1,9121,604,31,1110.6178171699894,8524.757184847102,0.06622080912180682,0.05132450331125828,7.6756892002411625,35.826381199031914
Search,Campaign_2,4593,713,118,1445.543728136307,1789.3241043768685,0.1552362290441977,0.16549789621318373,1.2378208071808292,12.250370577426331
Email,Campaign_3,6310,757,22,753.6719148249248,4937.01288580013,0.11996830427892234,0.02906208718626156,6.55061279143854,34.25781431022386
Email,Campaign_4,9934,138,122,4239.969177960878,5256.815838550019,0.013891685121803906,0.8840579710144928,1.2398240689754663,34.7538457209908
Social,Campaign_0,8374,819,108,568.4239014138561,5787.465873471944,0.09780272271315978,0.13186813186813187,10.181601897943812,5.26318427235052
Display,Campaign_1,9609,997,143,1522.3351117575176,3933.7620156695953,0.10375689457799979,0.14343029087261785,2.5840315875839677,10.645700082220403
Email,Campaign_2,3276,243,30,4291.070953676735,2652.6846647781604,0.07417582417582418,0.12345679012345678,0.6181870897532584,143.03569845589118
Social,Campaign_3,2863,826,134,4622.105163350616,3056.442942855747,0.2885085574572127,0.162227602905569,0.6612664218656802,34.49332211455683
Search,Campaign_4,8486,849,169,1955.6513532153572,3219.8774512891723,0.10004713646005185,0.19905771495877503,1.6464475868846742,11.571901498315723
Search,Campaign_0,9199,629,108,3572.399079998764,4727.544280666516,0.06837699749972823,0.17170111287758347,1.3233527875245539,33.077769259247816
Display,Campaign_1,7653,336,33,619.219679056453,5984.2429618991555,0.04390435123480988,0.09821428571428571,9.66416792666821,18.76423269868039
Email,Campaign_2,9982,506,29,4724.021256112427,3986.3550313413352,0.05069124423963134,0.05731225296442688,0.8438478184625814,162.89728469353196
Social,Campaign_3,2890,561,95,1452.9037903341518,8430.786940393053,0.19411764705882353,0.16934046345811052,5.802715222082299,15.293724108780546
Social,Campaign_4,2616,726,57,1175.411034314431,5282.732783231902,0.2775229357798165,0.07851239669421488,4.494370589530074,20.62124621604265
Display,Campaign_0,5591,275,16,912.8126564819604,3752.5019215579055,0.04918619209443749,0.05818181818181818,4.11092231786125,57.050791030122525
Social,Campaign_1,1626,806,78,3509.963931227243,4110.731305149722,0.4956949569495695,0.0967741935483871,1.171160554835794,44.99953757983645
Social,Campaign_2,7103,367,34,1995.06792048266,9903.49734116386,0.051668309165141486,0.09264305177111716,4.963990067449905,58.678468249489995
Display,Campaign_3,6966,598,185,2871.0215302021124,6953.780442584983,0.08584553545793856,0.3093645484949833,2.422057922392332,15.519035298389797
Search,Campaign_4,9990,908,170,4922.3447713770565,4687.09143457834,0.09089089089089089,0.18722466960352424,0.952207058277045,28.95496924339445
Display,Campaign_0,3138,147,26,1062.8769503728677,9071.63446540404,0.04684512428298279,0.17687074829931973,8.534980895221805,40.87988270664876
Display,Campaign_1,7819,872,160,3061.6980846790725,7881.509488022234,0.11152321268704438,0.1834862385321101,2.574228179931195,19.135613029244205
Search,Campaign_2,8239,597,135,1811.215416441228,8781.522445772154,0.07246025003034348,0.22613065326633167,4.848414145583276,13.416410492157244
Search,Campaign_3,8021,354,38,3022.791777464075,2450.0501785079523,0.04413414786186261,0.10734463276836158,0.810525619651971,79.5471520385283
Display,Campaign_4,5517,746,38,4413.7274340490985,8221.761515513948,0.1352184158056915,0.05093833780160858,1.8627705580748575,116.15072194866049
Email,Campaign_0,9629,474,123,3530.2972358233974,5321.028236924037,0.049226295565479285,0.25949367088607594,1.5072465238703827,28.701603543279653
Search,Campaign_1,7245,528,111,4734.368152591149,1613.3316516939658,0.07287784679089027,0.21022727272727273,0.340770214671831,42.651965338659
Display,Campaign_2,8008,428,99,3844.905344590028,1828.3301652947368,0.05344655344655345,0.23130841121495327,0.4755202017826753,38.8374277231316
Social,Campaign_3,2745,492,143,2796.291579166083,6160.585793297239,0.17923497267759564,0.29065040650406504,2.203127112779299,19.554486567594985
Email,Campaign_4,9292,300,76,1124.2716113432334,4498.43891171474,0.032285837279380114,0.25333333333333335,4.001202971175435,14.793047517674124
Social,Campaign_0,2409,592,173,966.9215656334702,1637.4046028632365,0.24574512245745123,0.2922297297297297,1.6934202949445079,5.589141997881331
Search,Campaign_1,1765,841,189,1938.2677048627727,4927.307150385486,0.4764872521246459,0.22473246135552913,2.5421189952366947,10.255384681813613
Email,Campaign_2,6277,118,87,2100.5850148816285,8129.343501456086,0.018798789230524134,0.7372881355932204,3.8700378436786043,24.144655343466994
Display,Campaign_3,5997,102,194,4193.263130306554,2935.1051114137144,0.017008504252126064,1.9019607843137254,0.6999572934501584,21.61475840364203
Email,Campaign_4,9144,297,15,2766.1898549400894,7502.900845779096,0.03248031496062992,0.050505050505050504,2.712359324281303,184.41265699600595
Search,Campaign_0,5326,321,39,2843.7092244737946,4836.7769086006865,0.06027037176117161,0.12149532710280374,1.7008690153599277,72.91562114035371
Email,Campaign_1,7056,605,101,4987.308238962876,3958.2769933376967,0.08574263038548753,0.1669421487603306,0.7936700126962336,49.37928949468194
Display,Campaign_2,3710,329,191,3352.8015132173778,4759.797498465301,0.08867924528301886,0.5805471124620061,1.4196478615573511,17.55393462417475
Display,Campaign_3,4102,712,71,3124.1385796364675,6723.126286610035,0.17357386640663092,0.0997191011235955,2.151993618475258,44.00195182586574
Email,Campaign_4,7675,462,164,4227.2012168364145,4446.351401859759,0.06019543973941368,0.354978354978355,1.0518428562497797,25.775617175831794
Display,Campaign_0,5756,257,38,1184.236540739571,5801.114463448489,0.04464906184850591,0.14785992217898833,4.898611268848045,31.164119493146604
Email,Campaign_1,8018,255,177,4373.734073707201,1673.5475532999994,0.031803442254926415,0.6941176470588235,0.3826358724826385,24.710361998345768
Email,Campaign_2,3634,757,107,1695.688429429032,6975.830574210824,0.20831040176114474,0.14134742404227213,4.113863403879985,15.8475554152246
Email,Campaign_3,1123,542,115,1812.6270190512498,2301.213242738647,0.4826357969723954,0.21217712177121772,1.269545923431688,15.76197407870652
Email,Campaign_4,7460,495,185,3547.179011998509,2520.25797293549,0.06635388739946381,0.37373737373737376,0.7104964154362079,19.173940605397345
Search,Campaign_0,2629,405,119,1045.2265560042092,7269.2255403280105,0.15405096995055154,0.2938271604938272,6.9546889127248095,8.783416437010162
Display,Campaign_1,6672,428,170,1307.4483330611652,9918.798749274265,0.06414868105515588,0.397196261682243,7.58637913136583,7.690872547418619
Email,Campaign_2,2320,444,131,4865.485413607102,9132.459480483136,0.19137931034482758,0.29504504504504503,1.8769883586420308,37.14111002753513
Display,Campaign_3,3538,615,14,3320.720090757647,5116.595264297942,0.17382702091577162,0.022764227642276424,1.5408089584360458,237.1942921969748
Search,Campaign_4,3589,724,192,1642.8735394439332,3725.32877162064,0.20172750069657286,0.26519337016574585,2.2675687946630148,8.556633017937152
Display,Campaign_0,8774,111,138,4548.860320887489,5005.205774617051,0.012651014360610896,1.2432432432432432,1.1003208323707174,32.962755948460064
Display,Campaign_1,8406,925,21,2073.0099909528844,6037.445997994452,0.11004044729954794,0.022702702702702703,2.9124056441326007,98.71476147394688
Social,Campaign_2,5478,534,189,1196.2549352091091,3375.8950460467768,0.09748083242059145,0.3539325842696629,2.8220531817130263,6.329391191582588
Social,Campaign_3,8011,755,109,4911.449153167244,7495.21567776513,0.09424541255773311,0.14437086092715232,1.5260700954079294,45.05916654281875
Social,Campaign_4,8335,231,36,1021.3219705722099,1216.7031319528069,0.027714457108578283,0.15584415584415584,1.1913022210529085,28.37005473811694
Email,Campaign_0,8837,986,25,3078.4809065544464,9483.429656307706,0.11157632680774018,0.02535496957403651,3.080554969860743,123.13923626217786
Social,Campaign_1,9700,610,116,3875.3357486813716,7534.060584709484,0.06288659793814433,0.1901639344262295,1.9441052526282494,33.408066798977345
Social,Campaign_2,4137,257,154,4691.266655014537,8857.525769949661,0.06212231085327532,0.5992217898832685,1.888088318424998,30.46277048710738
Social,Campaign_3,2408,167,126,995.139500216239,4046.883562032092,0.06935215946843853,0.7544910179640718,4.066649511101432,7.897932541398722
Display,Campaign_4,2111,668,80,2875.123529939462,9387.919219934269,0.3164377072477499,0.11976047904191617,3.2652229103115924,35.939044124243274
Email,Campaign_0,4877,303,105,1096.3279934874067,9911.093702038412,0.06212835759688333,0.3465346534653465,9.04026327970641,10.44121898559435
Display,Campaign_1,6487,475,12,3974.2130728371,2615.009055070065,0.0732233698165562,0.02526315789473684,0.6579941757383607,331.184422736425
Social,Campaign_2,5825,179,27,1419.315770791341,6169.299546581473,0.030729613733905578,0.15083798882681565,4.346671595949204,52.56725077004967
Search,Campaign_3,2527,401,75,1520.1736822097819,8800.99283321321,0.15868618915710328,0.18703241895261846,5.789465332947847,20.268982429463758
Email,Campaign_4,2321,702,170,4992.998199967673,1438.0058003415018,0.3024558380008617,0.24216524216524216,0.2880044700097853,29.370577646868664
Social,Campaign_0,4952,179,176,4303.356960414634,7982.390786373776,0.036147011308562196,0.9832402234636871,1.8549218342334914,24.450891820537695
Search,Campaign_1,4115,325,78,3427.420898462558,1314.5803288793513,0.07897934386391252,0.24,0.3835479702738097,43.94129357003279
Email,Campaign_2,2134,111,104,3382.3301759461374,6892.461856897135,0.052014995313964384,0.9369369369369369,2.0377850470996997,32.52240553794363
Search,Campaign_3,4525,603,14,3191.297460927883,1861.3742475846257,0.1332596685082873,0.02321724709784411,0.583265668704986,227.94981863770593
Email,Campaign_4,5470,233,89,4784.475937147088,1903.9239471788774,0.04259597806215722,0.38197424892703863,0.3979378247880078,53.7581565971583
Social,Campaign_0,3963,286,137,4364.374597896718,3587.7675902594206,0.07216754983598284,0.479020979020979,0.8220576648000013,31.856748889757068
Display,Campaign_1,7895,680,31,3248.2487604314256,4363.014408477988,0.08613046231792273,0.045588235294117645,1.343189740153553,104.78221807843309
Search,Campaign_2,9075,415,131,1114.8303367951048,5554.965056596485,0.045730027548209366,0.3156626506024096,4.982789643638335,8.510155242710724
Search,Campaign_3,9071,644,125,2159.4238126159007,1608.244962404668,0.07099548010142212,0.19409937888198758,0.744756519312649,17.275390500927205
Social,Campaign_4,5378,905,112,4826.994397262436,4525.003075313523,0.16827817032354034,0.12375690607734807,0.937436985193067,43.09816426127175
Email,Campaign_0,9752,271,20,1046.922046856294,9616.550792542801,0.027789171452009844,0.07380073800738007,9.185546164988557,52.346102342814696
Display,Campaign_1,3742,737,26,946.2355314025981,5300.433807503917,0.1969535008017103,0.035278154681139755,5.601600903368237,36.39367428471531
Social,Campaign_2,5704,416,12,639.3309546428577,9778.68408363177,0.0729312762973352,0.028846153846153848,15.29518321085255,53.27757955357148
Social,Campaign_3,5452,657,56,3301.1819341726978,9513.282150641984,0.12050623624358034,0.0852359208523592,2.8817806289813253,58.94967739594103
Display,Campaign_4,7743,385,199,1918.3579004766816,3453.975020447301,0.0497223298463128,0.5168831168831168,1.8004852064304804,9.639989449631566
Email,Campaign_0,6630,350,184,4562.2687392955395,8329.465900721836,0.05279034690799397,0.5257142857142857,1.8257289030299408,24.794938800519237
Search,Campaign_1,3562,255,120,4870.196350150112,4118.7084849497205,0.07158899494665918,0.47058823529411764,0.8456965980073413,40.58496958458427
Search,Campaign_2,8434,843,42,1690.9523425450059,6809.64665981428,0.09995257291913683,0.0498220640569395,4.027107381137228,40.26077006059538
Display,Campaign_3,4366,895,161,4399.038916802427,3933.193993921296,0.20499312872194228,0.17988826815642459,0.894103023025824,27.323223085729357
Search,Campaign_4,8078,129,199,2141.0581641824665,2770.087240470387,0.0159692993315177,1.5426356589147288,1.2937935488212702,10.759086252173198
Display,Campaign_0,9804,226,139,1641.2332057925285,6211.607856682294,0.023051815585475317,0.6150442477876106,3.784719828211614,11.807433135198046
Display,Campaign_1,5545,172,46,3185.9951165225416,8656.28661992879,0.03101893597835888,0.26744186046511625,2.7169805047840048,69.26076340266395
Display,Campaign_2,1571,175,99,4607.017794258382,9613.388521046174,0.11139401654996817,0.5657142857142857,2.0866836097371086,46.535533275337194
Search,Campaign_3,4748,197,18,1107.9954375524435,3362.7169619012534,0.04149115417017692,0.09137055837563451,3.0349556035442515,61.55530208624686
Social,Campaign_4,1901,306,57,1628.338223231008,7115.877410940765,0.16096791162546029,0.18627450980392157,4.370024181352926,28.567337249666807
Search,Campaign_0,3309,650,101,666.7006405545204,8428.319624997588,0.19643396796615292,0.15538461538461537,12.641835199059404,6.600996441133866
Search,Campaign_1,7182,367,10,1860.0263256445367,2905.0202583820956,0.05109997215260373,0.027247956403269755,1.5618167433062795,186.00263256445368
Display,Campaign_2,7232,558,173,3704.937413112502,5608.31132513777,0.0771570796460177,0.3100358422939068,1.513739828718524,21.415823197182092
Search,Campaign_3,6839,858,36,962.304349843954,9149.646822238143,0.12545693814885217,0.04195804195804196,9.508059299245438,26.73067638455428
Display,Campaign_4,7514,957,121,1846.2492228024323,8783.981016393684,0.1273622571200426,0.12643678160919541,4.757743920975321,15.258258039689522
Display,Campaign_0,8300,132,190,2988.343961045356,1101.6107410265804,0.015903614457831325,1.4393939393939394,0.3686358583170676,15.728126110765032
Search,Campaign_1,4096,790,160,4060.078729426102,6617.47726872178,0.19287109375,0.20253164556962025,1.6298889035723625,25.37549205891314
Search,Campaign_2,4458,140,169,4951.423731512115,6718.5594964245365,0.03140421713772992,1.207142857142857,1.356894473334189,29.298365275219616
Display,Campaign_3,9019,298,139,2417.7796428518027,9919.80306426444,0.03304135713493735,0.4664429530201342,4.1028565583271694,17.39409815001297
Email,Campaign_4,4971,386,103,2848.0192956419687,7196.605705450452,0.07765037215851942,0.266839378238342,2.52688095072343,27.650672773222997
Social,Campaign_0,4661,762,13,4428.146923678296,5857.7591156226,0.16348423085174854,0.01706036745406824,1.3228466030112611,340.626686436792
Search,Campaign_1,2291,223,13,2608.607067285589,2638.9850262430537,0.09733740724574422,0.05829596412556054,1.0116452797120858,200.66208209889146
Display,Campaign_2,9589,687,108,1462.3730787617098,3376.37777335036,0.07164459276254041,0.1572052401746725,2.308834744283837,13.540491470015832
Search,Campaign_3,3532,391,126,4502.616278237203,8378.602665270779,0.11070215175537938,0.32225063938618925,1.8608298259320122,35.73504982727939
Social,Campaign_4,3129,568,174,3782.11875149725,1626.1748780806288,0.18152764461489293,0.30633802816901406,0.4299639923883578,21.736314663777296
Search,Campaign_0,2711,675,180,2196.2409870285996,1127.5185342305913,0.24898561416451495,0.26666666666666666,0.51338561701103,12.201338816825553
Social,Campaign_1,6802,872,120,2694.312772836986,6502.247756371541,0.12819758894442812,0.13761467889908258,2.41332328671143,22.452606440308216
Email,Campaign_2,9058,789,30,1408.2716003503706,7085.237415425451,0.08710532126297196,0.03802281368821293,5.031158345920405,46.942386678345684
Search,Campaign_3,3489,984,143,704.5053906736712,8431.65111698745,0.2820292347377472,0.14532520325203252,11.968185380277685,4.926611123592106
Search,Campaign_4,2169,257,93,1954.8073743910616,5772.021183367346,0.11848778238819732,0.36186770428015563,2.9527314348122804,21.019434133237223
Display,Campaign_0,5057,803,192,3353.378652599671,8581.323931823634,0.15878979632193,0.23910336239103364,2.559008337806127,17.465513815623286
Email,Campaign_1,7613,929,13,1772.2410941445203,8426.895125010298,0.1220281098121634,0.013993541442411194,4.754937210773826,136.32623801111694
Display,Campaign_2,1183,703,93,4933.692307018346,4506.643050319099,0.5942519019442096,0.13229018492176386,0.9134422598483178,53.05045491417576
Search,Campaign_3,5207,723,161,955.9317700813747,1817.2848337824228,0.13885154599577493,0.22268326417704012,1.9010612374853118,5.937464410443321
Display,Campaign_4,6346,311,58,3402.708786434707,7866.584794144136,0.04900724866057359,0.1864951768488746,2.311859547165831,58.66739286956391
Email,Campaign_0,3827,460,104,2957.8953537335115,9686.28689341425,0.12019858897308597,0.22608695652173913,3.2747226439867236,28.441301478206842
Email,Campaign_1,7241,190,168,514.4062932914834,8905.24111717127,0.026239469686507387,0.8842105263157894,17.311687732648327,3.0619422219731156
Search,Campaign_2,3286,638,145,4281.731022545027,6699.692882220249,0.19415702982349362,0.22727272727272727,1.5647159634604988,29.529179465827774
Email,Campaign_3,6131,685,180,2333.6081730032965,1864.7470921844124,0.11172728755504811,0.26277372262773724,0.7990832024660458,12.964489850018314
Search,Campaign_4,8137,323,150,2814.053806203349,6329.720649441681,0.03969521936831756,0.46439628482972134,2.2493246701567453,18.760358708022327
Display,Campaign_0,6217,962,14,3764.1580470605827,1141.3047928547664,0.1547370114202992,0.014553014553014554,0.30320320735363576,268.8684319328988
Search,Campaign_1,6471,885,165,3755.1812932102926,6327.788311284991,0.13676402410755678,0.1864406779661017,1.6850819753299808,22.758674504304803
Search,Campaign_2,3349,811,121,4087.675714487365,8503.346686047902,0.24216183935503136,0.14919852034525277,2.080240038589829,33.782443921383184
Display,Campaign_3,3822,924,181,1014.5344908302262,7673.085865957059,0.24175824175824176,0.1958874458874459,7.563159197946957,5.6051629327636805
Email,Campaign_4,3598,903,191,4844.225627591511,6541.282895405655,0.2509727626459144,0.2115171650055371,1.350325810207544,25.36243784079325
Email,Campaign_0,5147,301,148,4415.839629911886,2084.937318872021,0.05848066835049543,0.49169435215946844,0.47214969147636915,29.83675425616139
Email,Campaign_1,9087,832,53,4483.093803283828,2555.267208964824,0.09155937052932761,0.06370192307692307,0.5699785284646761,84.58667553365713
Social,Campaign_2,5867,915,16,3430.111341604961,8606.031869920178,0.15595704789500597,0.017486338797814208,2.5089657485851133,214.38195885031007
Search,Campaign_3,2882,148,10,1802.1774064113658,6323.3277816064465,0.05135322692574601,0.06756756756756757,3.5087154900015878,180.21774064113657
Email,Campaign_4,8802,475,61,3668.2437060278007,5697.025596815207,0.053965007952738016,0.12842105263157894,1.5530662773178436,60.135142721767224
Social,Campaign_0,6533,729,172,3979.5846504378087,2873.1047850801388,0.11158732588397367,0.23593964334705075,0.7219609676512492,23.137120060684936
Search,Campaign_1,1645,679,106,1531.607840276251,4819.634429936887,0.4127659574468085,0.1561119293078056,3.1467809860960134,14.449130568643877
Display,Campaign_2,6497,735,33,4348.811052534418,6227.930127153161,0.1131291365245498,0.044897959183673466,1.4320994984419069,131.78215310710357
Search,Campaign_3,5039,811,168,2707.783250265683,6652.851276342957,0.16094463187140307,0.20715166461159062,2.456936416786754,16.117757442057638
